"project_id","job_id","language","files","comment","code"
"42880","1727751",".Net Project File","1","7","1281"
"42880","1727751","ASP.NET","4","0","73"
"42880","1727751",".Net Solution File","1","0","25"
"42880","1727751","YAML","2","0","14"
"42880","1727751","Text","4","0","5"
"42880","1727751","XML","1","0","1"
"42880","1727751","Ignored","11","0","0"
"39049","1727493","CSV","11","0","666558"
"39049","1727493","Python","402","5177","45395"
"39049","1727493","SQL","112","216","5588"
"39049","1727493","JSON","45","0","1532"
"39049","1727493","YAML","12","0","1250"
"39049","1727493","Markdown","24","0","673"
"39049","1727493","Text","30","0","663"
"39049","1727493","DOS Batch","4","1","246"
"39049","1727493","XML","1","0","105"
"39049","1727493","Ignored","82","0","0"
"32873","1727754","JSON","840","0","286414"
"32873","1727754","C#","1202","7024","61974"
"32873","1727754","XML","3482","0","12401"
"32873","1727754","Razor C#","109","121","6048"
"32873","1727754","PowerShell","37","57","1362"
"32873","1727754",".Net Project File","29","0","630"
"32873","1727754","DTD","1","197","345"
"32873","1727754",".Net Solution File","1","0","255"
"32873","1727754","CSS","1","17","242"
"32873","1727754","YAML","5","2","147"
"32873","1727754","Markdown","4","0","106"
"32873","1727754","DOS Batch","44","29","100"
"32873","1727754","Text","17","0","33"
"32873","1727754","ASP.NET","1","0","20"
"32873","1727754","JavaScript","1","2","1"
"32873","1727754","Ignored","13","0","0"
"39620","1727937","Rust","27","296","7262"
"39620","1727937","Markdown","1","0","27"
"39620","1727937","Ignored","2","0","0"
"45160","1702744","JSON","4","0","9335"
"45160","1702744","TypeScript","45","4","2860"
"45160","1702744","CSS","2","0","184"
"45160","1702744","YAML","2","0","42"
"45160","1702744","Markdown","1","0","27"
"45160","1702744","Ignored","7","0","0"
"38797","1727710","Python","1","0","62"
"38797","1727710","Markdown","1","0","16"
"38797","1727710","Ignored","1","0","0"
"45031","1727634","C#","53","135","2353"
"45031","1727634","SQL","9","0","221"
"45031","1727634",".Net Project File","3","0","86"
"45031","1727634",".Net Solution File","1","0","37"
"45031","1727634","JSON","3","0","27"
"45031","1727634","Shell Script","1","0","7"
"14417","1728128","Java","56","2371","4233"
"14417","1728128","DOS Batch","3","0","228"
"14417","1728128","YAML","2","2","134"
"14417","1728128","Groovy","6","63","70"
"14417","1728128","Properties","5","0","67"
"14417","1728128","Markdown","2","0","13"
"14417","1728128","Ignored","10","0","0"
"36386","1728078","JSON","160","0","418948"
"36386","1728078","JavaScript","712","1483","99407"
"36386","1728078","TypeScript","1248","700","83142"
"36386","1728078","C#","983","3268","72248"
"36386","1728078",".Net Project File","23","78","6560"
"36386","1728078","ASP.NET","55","2","6275"
"36386","1728078","Text","7","0","5668"
"36386","1728078","Sass","30","144","4626"
"36386","1728078","Markdown","52","0","1944"
"36386","1728078",".Net Solution File","4","0","1074"
"36386","1728078","HTML","13","22","1055"
"36386","1728078","CSS","7","41","1047"
"36386","1728078","YAML","18","15","1010"
"36386","1728078","XSD","7","2","885"
"36386","1728078",".Net Resource File","5","192","572"
"36386","1728078","XML","8","0","562"
"36386","1728078","PowerShell","6","33","328"
"36386","1728078","Razor C#","1","0","48"
"36386","1728078","Shell Script","3","3","45"
"36386","1728078","Ignored","75","0","0"
"29788","1727770","C++","900","49659","724732"
"29788","1727770","XML","2","2","287842"
"29788","1727770","C#","1077","33810","285240"
"29788","1727770","C","659","10409","184226"
"29788","1727770","XSD","45","593","62515"
"29788","1727770",".Net Resource File","44","2112","18554"
"29788","1727770",".Net Project File","8","35","4642"
"29788","1727770","JSON","1","0","1620"
"29788","1727770","ASP.NET","18","0","1077"
"29788","1727770",".Net Solution File","1","0","898"
"29788","1727770","YAML","4","17","408"
"29788","1727770","Text","4","0","197"
"29788","1727770","DOS Batch","8","0","61"
"29788","1727770","Ignored","403","0","0"
"29793","1727722","C","277","8414","66938"
"29793","1727722","C++","105","2589","27530"
"29793","1727722","C#","118","2578","18339"
"29793","1727722",".Net Project File","10","63","1188"
"29793","1727722","YAML","4","32","618"
"29793","1727722",".Net Solution File","2","0","399"
"29793","1727722","ASP.NET","12","0","301"
"29793","1727722",".Net Resource File","4","192","256"
"29793","1727722","XSD","5","0","122"
"29793","1727722","Ignored","58","0","0"
"40559","1462611","JavaScript","532","818","79817"
"40559","1462611","JSON","37","0","2184"
"40559","1462611","YAML","1","3","741"
"40559","1462611","Markdown","3","0","72"
"40559","1462611","TypeScript","2","1","46"
"40559","1462611","HTML","2","2","37"
"40559","1462611","CSS","1","0","19"
