"project_id","job_id","authors","active_authors","entities","commits"
"43973","1728058","10","7","522","487"
"35113","1728043","21","4","4696","3732"
"38685","1728536","17","4","125","126"
"40363","1728338","3","3","1550","761"
"35124","868813","2","1","11","25"
"38791","1727592","11","4","904","587"
"5382","1693505","90","22","3362","22273"
"37759","1116887","31","2","6364","8446"
"35599","889180","2","1","11","25"
"36298","909913","2","1","11","25"
"25374","1722735","2","1","359","301"
"39300","1128451","2","1","103","39"
"13081","1176603","47","10","555","1384"
"38419","1061923","2","2","9","15"
"34585","848806","2","1","103","39"
"45374","1727761","4","1","8180","38"
"45071","1727707","8","4","483","417"
"34725","856249","2","1","11","25"
"37959","1507746","12","10","1005","366"
"37651","1000525","2","1","103","39"
"14032","1176442","44","2","154","688"
"18546","1176161","5","4","83","47"
"40123","1631917","2","1","633","51"
"36790","942229","2","1","103","39"
"36090","900033","2","1","11","25"
"35906","1177463","12","4","33","82"
"44773","1668676","2","1","103","39"
"40385","1226810","2","1","103","39"
"43718","1636626","5","3","194","78"
"29291","1176243","13","3","76","85"
"37746","1007980","2","1","103","39"
"36132","1728235","14","5","1003","1245"
"32583","1728092","6","5","295","173"
